iter	MultiClass	Accuracy
934	0.931619656	0.7215333333
935	0.9312117594	0.7215333333
936	0.9309083654	0.7217333333
937	0.930365122	0.7219333333
938	0.9301254281	0.7214666667
939	0.9297376729	0.7213333333
940	0.9293566643	0.7218666667
941	0.9288843121	0.7217333333
942	0.9284840322	0.7216666667
943	0.9282452699	0.7218
944	0.9276885172	0.7223333333
945	0.9274698859	0.7220666667
946	0.9270134744	0.7224
947	0.9265490709	0.7228
948	0.9262933036	0.7226
949	0.9258591429	0.723
950	0.925429384	0.7232666667
951	0.9250451002	0.7236666667
952	0.9247348022	0.7236
953	0.9244483758	0.7234666667
954	0.9239859359	0.7237333333
955	0.9236894112	0.724
956	0.9231733816	0.7242666667
957	0.9225933904	0.7250666667
958	0.9221025066	0.7258666667
959	0.9216264141	0.726
960	0.9213432296	0.7261333333
961	0.9209492167	0.7262
962	0.9205788228	0.7264
963	0.9203393819	0.7265333333
